,Full Name,Year,Tm,FG%,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
1,Kristaps Porzingis,2016,NYK,0.45,14.1,0.681,0.207,0.162,0.196,0.116,0.319,0.493,0.701,0.338,0.482,0.36,0.357,0.668,0.086,78.0,0.982,0.111,0.429,0.0,0.0
2,Kristaps Porzingis,2017,NYK,0.439,14.4,0.744,0.156,0.156,0.264,0.165,0.256,0.454,0.604,0.381,0.43,0.422,0.395,0.647,0.067,53.0,0.989,0.053,0.583,5.0,0.0
0,James Posey,2000,DEN,0.412,13.2,0.632,0.358,0.073,0.061,0.141,0.368,0.477,0.564,0.326,0.5,0.325,0.3,0.697,0.075,38.0,0.923,0.465,0.317,3.0,0.0
1,James Posey,2001,DEN,0.376,14.1,0.678,0.283,0.076,0.084,0.235,0.322,0.421,0.553,0.357,0.29,0.329,0.283,0.71,0.092,56.0,0.94,0.549,0.338,3.0,0.0
2,James Posey,2002,TOT,0.411,12.8,0.695,0.339,0.102,0.08,0.174,0.305,0.457,0.604,0.325,0.217,0.359,0.306,0.544,0.092,55.0,0.843,0.432,0.253,4.0,0.0
3,James Posey,2002,DEN,0.373,13.5,0.728,0.25,0.142,0.105,0.231,0.272,0.411,0.593,0.261,0.265,0.373,0.273,0.485,0.034,9.0,0.708,0.398,0.286,1.0,0.0
4,James Posey,2002,HOU,0.439,12.2,0.671,0.407,0.072,0.061,0.131,0.329,0.495,0.609,0.419,0.154,0.339,0.326,0.585,0.136,46.0,0.913,0.454,0.234,3.0,0.0
5,James Posey,2003,MEM,0.478,12.4,0.623,0.37,0.105,0.053,0.095,0.377,0.533,0.646,0.42,0.293,0.356,0.386,0.617,0.078,53.0,0.875,0.41,0.37,0.0,0.0
6,James Posey,2004,MEM,0.357,15.0,0.5,0.278,0.096,0.045,0.081,0.5,0.404,0.485,0.206,0.25,0.448,0.309,0.528,0.042,13.0,0.964,0.421,0.36,1.0,0.0
7,James Posey,2005,MIA,0.403,19.7,0.266,0.147,0.028,0.028,0.063,0.734,0.4,0.586,0.273,0.091,0.16,0.403,0.5,0.023,8.0,0.983,0.4,0.448,0.0,0.0
8,James Posey,2006,MIA,0.431,16.8,0.4,0.28,0.032,0.021,0.067,0.6,0.514,0.636,0.286,0.111,0.241,0.375,0.517,0.042,18.0,0.918,0.305,0.405,0.0,0.0
9,James Posey,2007,BOS,0.418,18.3,0.326,0.234,0.027,0.012,0.053,0.674,0.496,0.598,0.364,0.2,0.182,0.38,0.731,0.029,12.0,0.915,0.287,0.313,1.0,0.0
10,James Posey,2008,NOH,0.412,17.3,0.401,0.216,0.08,0.05,0.055,0.599,0.476,0.54,0.452,0.385,0.345,0.369,0.39,0.025,12.0,0.931,0.347,0.459,2.0,0.0
11,James Posey,2009,NOH,0.365,18.9,0.299,0.186,0.041,0.032,0.041,0.701,0.437,0.5,0.357,0.455,0.214,0.335,0.489,0.006,0.0,0.877,0.26,0.333,1.0,0.0
12,James Posey,2010,IND,0.336,23.0,0.12,0.054,0.025,0.012,0.029,0.88,0.483,0.692,0.833,0.0,0.0,0.316,0.571,0.004,1.0,0.985,0.217,0.326,1.0,0.0
0,Lavor Postell,2000,NYK,0.315,12.0,0.796,0.259,0.148,0.204,0.185,0.204,0.326,0.643,0.125,0.273,0.1,0.273,0.571,0.037,2.0,0.667,0.364,0.0,0.0,0.0
1,Lavor Postell,2001,NYK,0.333,15.3,0.69,0.179,0.06,0.25,0.202,0.31,0.379,0.467,0.0,0.381,0.412,0.231,0.227,0.012,1.0,0.667,0.308,0.125,0.0,0.0
2,Lavor Postell,2002,NYK,0.368,14.7,0.816,0.158,0.105,0.184,0.368,0.184,0.387,0.667,0.5,0.143,0.357,0.286,0.667,0.053,2.0,1.0,0.143,0.0,0.0,0.0
0,Vitaly Potapenko,2000,BOS,0.476,8.3,1.0,0.338,0.234,0.248,0.18,0.0,0.476,0.523,0.443,0.504,0.394,,0.694,0.008,3.0,,,,0.0,0.0
1,Vitaly Potapenko,2001,BOS,0.455,7.5,1.0,0.429,0.186,0.186,0.199,0.0,0.455,0.527,0.482,0.357,0.367,,0.657,0.023,4.0,,,,0.0,0.0
2,Vitaly Potapenko,2002,SEA,0.441,7.1,1.0,0.301,0.376,0.226,0.097,0.0,0.441,0.429,0.429,0.524,0.333,,0.829,0.0,0.0,,,,0.0,0.0
3,Vitaly Potapenko,2003,SEA,0.489,8.0,1.0,0.271,0.32,0.296,0.112,0.0,0.489,0.595,0.405,0.488,0.478,,0.83,0.007,3.0,,,,0.0,0.0
4,Vitaly Potapenko,2004,SEA,0.517,8.3,0.989,0.299,0.23,0.287,0.172,0.011,0.523,0.808,0.35,0.52,0.267,0.0,0.733,0.034,3.0,,1.0,0.0,0.0,0.0
5,Vitaly Potapenko,2005,TOT,0.521,6.4,1.0,0.38,0.31,0.268,0.042,0.0,0.521,0.519,0.545,0.526,0.333,,0.784,0.0,0.0,,,,0.0,0.0
6,Vitaly Potapenko,2005,SEA,0.5,6.0,1.0,0.422,0.297,0.25,0.031,0.0,0.5,0.519,0.579,0.438,0.0,,0.75,0.0,0.0,,,,0.0,0.0
7,Vitaly Potapenko,2005,SAC,0.714,10.6,1.0,0.0,0.429,0.429,0.143,0.0,0.714,,0.333,1.0,1.0,,1.0,0.0,0.0,,,,0.0,0.0
8,Vitaly Potapenko,2006,SAC,0.0,9.0,1.0,0.5,0.0,0.25,0.25,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0
0,Leon Powe,2006,BOS,0.446,4.9,0.989,0.571,0.271,0.073,0.073,0.011,0.451,0.495,0.417,0.462,0.231,0.0,0.354,0.09,15.0,,0.0,,0.0,0.0
1,Leon Powe,2007,BOS,0.572,3.3,0.996,0.732,0.156,0.045,0.063,0.004,0.575,0.64,0.452,0.083,0.471,0.0,0.675,0.175,42.0,,0.0,,0.0,0.0
2,Leon Powe,2008,BOS,0.524,2.5,1.0,0.725,0.237,0.021,0.018,0.0,0.524,0.62,0.288,0.286,0.0,,0.559,0.142,47.0,,,,0.0,0.0
3,Leon Powe,2009,CLE,0.429,3.2,1.0,0.714,0.204,0.061,0.02,0.0,0.429,0.486,0.3,0.333,0.0,,0.571,0.02,1.0,,,,0.0,0.0
4,Leon Powe,2010,TOT,0.496,6.3,0.983,0.487,0.303,0.067,0.126,0.017,0.504,0.569,0.444,0.375,0.467,0.0,0.661,0.067,7.0,,0.0,,0.0,0.0
