,Full Name,Year,Tm,FG%,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
2,Lamond Murray,2003,TOR,0.353,16.0,0.721,0.163,0.07,0.098,0.391,0.279,0.355,0.543,0.4,0.238,0.298,0.35,0.527,0.028,4.0,0.905,0.5,0.367,0.0,0.0
3,Lamond Murray,2004,TOR,0.426,15.6,0.661,0.206,0.065,0.116,0.274,0.339,0.42,0.5,0.3,0.444,0.376,0.438,0.605,0.048,15.0,0.935,0.457,0.438,1.0,0.0
4,Lamond Murray,2005,NJN,0.398,17.0,0.569,0.199,0.039,0.061,0.271,0.431,0.437,0.583,0.429,0.364,0.347,0.346,0.689,0.039,7.0,1.0,0.385,0.367,0.0,0.0
0,Ronald Murray,2002,TOT,0.355,9.4,0.839,0.452,0.129,0.097,0.161,0.161,0.423,0.571,0.25,0.333,0.2,0.0,0.273,0.032,0.0,,0.0,,0.0,0.0
1,Ronald Murray,2002,MIL,0.346,9.4,0.846,0.462,0.115,0.077,0.192,0.154,0.409,0.583,0.333,0.0,0.2,0.0,0.222,0.038,0.0,,0.0,,0.0,0.0
2,Ronald Murray,2002,SEA,0.4,9.2,0.8,0.4,0.2,0.2,0.0,0.2,0.5,0.5,0.0,1.0,,0.0,0.5,0.0,0.0,,0.0,,0.0,0.0
3,Ronald Murray,2003,SEA,0.425,13.5,0.75,0.267,0.113,0.137,0.234,0.25,0.469,0.59,0.427,0.416,0.383,0.293,0.357,0.049,34.0,0.851,0.336,0.377,9.0,0.0
4,Ronald Murray,2004,SEA,0.361,14.9,0.738,0.198,0.132,0.171,0.237,0.262,0.399,0.625,0.333,0.323,0.302,0.253,0.29,0.025,6.0,0.75,0.263,0.4,7.0,0.0
5,Ronald Murray,2005,TOT,0.418,11.9,0.816,0.337,0.128,0.126,0.225,0.184,0.453,0.579,0.367,0.392,0.347,0.262,0.313,0.038,18.0,0.838,0.298,0.333,8.0,0.0
6,Ronald Murray,2005,SEA,0.397,11.6,0.831,0.322,0.151,0.135,0.224,0.169,0.432,0.572,0.324,0.426,0.307,0.224,0.278,0.044,12.0,0.824,0.184,0.214,5.0,0.0
7,Ronald Murray,2005,CLE,0.448,12.2,0.795,0.36,0.095,0.114,0.227,0.205,0.484,0.588,0.467,0.333,0.403,0.308,0.361,0.028,6.0,0.85,0.431,0.393,3.0,0.0
8,Ronald Murray,2006,DET,0.404,12.7,0.811,0.304,0.084,0.21,0.212,0.189,0.431,0.541,0.324,0.348,0.398,0.289,0.301,0.014,5.0,1.0,0.301,0.32,7.0,0.0
9,Ronald Murray,2007,TOT,0.42,12.6,0.828,0.294,0.131,0.153,0.251,0.172,0.441,0.556,0.396,0.375,0.37,0.317,0.216,0.03,7.0,0.6,0.175,0.091,5.0,0.0
10,Ronald Murray,2007,DET,0.41,13.1,0.806,0.338,0.072,0.165,0.23,0.194,0.455,0.574,0.3,0.435,0.344,0.222,0.255,0.043,3.0,0.5,0.222,0.0,3.0,0.0
11,Ronald Murray,2007,IND,0.425,12.3,0.842,0.268,0.167,0.145,0.263,0.158,0.432,0.541,0.421,0.333,0.383,0.389,0.193,0.022,4.0,0.643,0.139,0.2,2.0,0.0
12,Ronald Murray,2008,ATL,0.447,14.8,0.696,0.245,0.113,0.143,0.194,0.304,0.485,0.626,0.411,0.491,0.344,0.36,0.299,0.034,23.0,0.759,0.231,0.357,9.0,0.0
13,Ronald Murray,2009,TOT,0.392,14.7,0.676,0.259,0.073,0.119,0.225,0.324,0.431,0.52,0.36,0.321,0.409,0.312,0.447,0.009,5.0,0.754,0.285,0.397,5.0,0.0
14,Ronald Murray,2009,CHA,0.389,14.6,0.681,0.253,0.083,0.124,0.221,0.319,0.425,0.471,0.353,0.333,0.451,0.313,0.412,0.007,3.0,0.683,0.275,0.361,3.0,0.0
15,Ronald Murray,2009,CHI,0.397,14.7,0.669,0.268,0.059,0.11,0.232,0.331,0.44,0.589,0.375,0.3,0.349,0.311,0.5,0.011,2.0,0.857,0.3,0.444,2.0,0.0
0,Tracy Murray,2000,TOT,0.379,17.6,0.585,0.081,0.137,0.113,0.254,0.415,0.4,0.5,0.382,0.286,0.429,0.35,0.707,0.0,0.0,0.917,0.34,0.343,0.0,0.0
1,Tracy Murray,2000,DEN,0.309,18.0,0.582,0.073,0.164,0.109,0.236,0.418,0.313,0.5,0.444,0.167,0.231,0.304,0.8,0.0,0.0,1.0,0.087,0.0,0.0,0.0
2,Tracy Murray,2000,TOR,0.399,17.5,0.585,0.083,0.13,0.114,0.259,0.415,0.425,0.5,0.36,0.318,0.48,0.363,0.688,0.0,0.0,0.897,0.413,0.364,0.0,0.0
3,Tracy Murray,2001,TOR,0.411,17.4,0.498,0.15,0.092,0.101,0.155,0.502,0.437,0.548,0.316,0.333,0.469,0.385,0.667,0.019,4.0,0.95,0.356,0.541,0.0,0.0
4,Tracy Murray,2002,LAL,0.324,19.0,0.465,0.113,0.042,0.07,0.239,0.535,0.455,0.5,0.333,0.6,0.412,0.211,0.8,0.042,3.0,0.875,0.132,0.0,0.0,0.0
5,Tracy Murray,2003,POR,0.25,16.4,0.583,0.167,0.083,0.167,0.167,0.417,0.143,0.5,0.0,0.0,0.0,0.4,1.0,0.083,1.0,1.0,0.2,0.0,0.0,0.0
0,Toure' Murry,2013,NYK,0.434,10.8,0.907,0.318,0.202,0.14,0.248,0.093,0.436,0.561,0.231,0.389,0.469,0.417,0.353,0.008,1.0,0.6,0.333,0.25,0.0,0.0
1,Toure' Murry,2014,TOT,0.4,9.6,1.0,0.4,0.2,0.0,0.4,0.0,0.4,1.0,0.0,,0.0,,0.5,0.2,1.0,,,,0.0,0.0
2,Toure' Murry,2014,UTA,0.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,0.0,0.0
3,Toure' Murry,2014,WAS,0.5,7.0,1.0,0.5,0.25,0.0,0.25,0.0,0.5,1.0,0.0,,0.0,,0.5,0.25,1.0,,,,0.0,0.0
0,Dzanan Musa,2018,BRK,0.409,15.6,0.545,0.227,0.182,0.045,0.091,0.455,0.667,0.8,0.75,0.0,0.5,0.1,0.75,0.0,0.0,1.0,0.2,0.0,0.0,0.0
0,Mike Muscala,2013,ATL,0.425,10.8,0.959,0.301,0.178,0.123,0.356,0.041,0.443,0.5,0.308,0.333,0.5,0.0,0.839,0.082,4.0,,0.333,0.0,0.0,0.0
1,Mike Muscala,2014,ATL,0.55,10.5,0.854,0.364,0.139,0.126,0.225,0.146,0.574,0.673,0.429,0.632,0.471,0.409,0.73,0.106,13.0,1.0,0.409,0.444,0.0,0.0
2,Mike Muscala,2015,ATL,0.5,11.9,0.743,0.342,0.125,0.092,0.184,0.257,0.566,0.673,0.632,0.286,0.464,0.308,0.797,0.046,6.0,1.0,0.308,0.25,1.0,0.0
3,Mike Muscala,2016,ATL,0.504,14.0,0.674,0.291,0.077,0.131,0.175,0.326,0.546,0.684,0.423,0.477,0.424,0.418,0.847,0.045,13.0,1.0,0.309,0.441,1.0,0.0
4,Mike Muscala,2017,ATL,0.458,15.8,0.465,0.231,0.096,0.103,0.038,0.535,0.559,0.694,0.367,0.438,0.5,0.371,0.654,0.042,10.0,1.0,0.329,0.491,0.0,0.0
5,Mike Muscala,2018,TOT,0.402,20.2,0.291,0.144,0.061,0.047,0.039,0.709,0.533,0.596,0.455,0.529,0.429,0.348,0.768,0.017,5.0,1.0,0.191,0.306,1.0,0.0
6,Mike Muscala,2018,PHI,0.392,20.2,0.284,0.14,0.061,0.05,0.032,0.716,0.519,0.615,0.471,0.5,0.222,0.342,0.756,0.022,5.0,1.0,0.206,0.317,1.0,0.0
7,Mike Muscala,2018,LAL,0.434,19.9,0.313,0.157,0.06,0.036,0.06,0.687,0.577,0.538,0.4,0.667,0.8,0.368,0.8,0.0,0.0,1.0,0.14,0.25,0.0,0.0
0,Dikembe Mutombo,2000,TOT,0.484,4.6,1.0,0.437,0.428,0.131,0.004,0.0,0.484,0.687,0.349,0.26,0.0,,0.39,0.122,64.0,,,,0.0,0.0
1,Dikembe Mutombo,2000,ATL,0.477,4.3,1.0,0.46,0.421,0.116,0.003,0.0,0.477,0.663,0.336,0.268,0.0,,0.349,0.141,47.0,,,,0.0,0.0
2,Dikembe Mutombo,2000,PHI,0.495,5.0,1.0,0.396,0.441,0.158,0.005,0.0,0.495,0.738,0.371,0.25,0.0,,0.46,0.089,17.0,,,,0.0,0.0
3,Dikembe Mutombo,2001,PHI,0.501,5.2,1.0,0.413,0.39,0.187,0.009,0.0,0.501,0.634,0.46,0.308,0.167,,0.57,0.066,40.0,,,,0.0,0.0
4,Dikembe Mutombo,2002,NJN,0.374,4.6,1.0,0.504,0.351,0.122,0.023,0.0,0.374,0.439,0.304,0.375,0.0,,0.49,0.107,13.0,,,,0.0,0.0
5,Dikembe Mutombo,2003,NYK,0.478,5.0,1.0,0.444,0.38,0.136,0.041,0.0,0.478,0.611,0.384,0.4,0.167,,0.589,0.108,29.0,,,,0.0,0.0
6,Dikembe Mutombo,2004,HOU,0.498,4.3,1.0,0.553,0.29,0.124,0.032,0.0,0.498,0.608,0.365,0.333,0.429,,0.5,0.143,29.0,,,,0.0,0.0
7,Dikembe Mutombo,2005,HOU,0.526,3.0,1.0,0.695,0.168,0.116,0.021,0.0,0.526,0.652,0.375,0.091,0.0,,0.62,0.116,9.0,,,,0.0,0.0
8,Dikembe Mutombo,2006,HOU,0.556,2.9,1.0,0.732,0.111,0.131,0.026,0.0,0.556,0.598,0.529,0.4,0.25,,0.553,0.098,15.0,,,,0.0,0.0
9,Dikembe Mutombo,2007,HOU,0.538,3.4,1.0,0.7,0.15,0.1,0.05,0.0,0.538,0.625,0.417,0.25,0.25,,0.628,0.25,18.0,,,,0.0,0.0
10,Dikembe Mutombo,2008,HOU,0.385,1.2,1.0,0.846,0.154,0.0,0.0,0.0,0.385,0.364,0.5,,,,0.6,0.077,1.0,,,,0.0,0.0
0,Sviatoslav Mykhailiuk,2018,TOT,0.329,19.3,0.364,0.157,0.057,0.043,0.107,0.636,0.333,0.455,0.125,0.333,0.267,0.326,0.706,0.021,2.0,0.966,0.247,0.364,0.0,0.0
1,Sviatoslav Mykhailiuk,2018,LAL,0.333,19.4,0.356,0.152,0.061,0.045,0.098,0.644,0.362,0.5,0.125,0.333,0.308,0.318,0.706,0.015,2.0,0.963,0.247,0.333,0.0,0.0
2,Sviatoslav Mykhailiuk,2018,DET,0.25,16.6,0.5,0.25,0.0,0.0,0.25,0.5,0.0,0.0,,,0.0,0.5,,0.125,0.0,1.0,0.25,1.0,0.0,0.0
0,Hamady N'Diaye,2010,WAS,0.8,6.8,1.0,0.4,0.2,0.4,0.0,0.0,0.8,1.0,1.0,0.5,,,0.75,0.4,2.0,,,,0.0,0.0
1,Hamady N'Diaye,2011,WAS,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,0.0,0.0
2,Hamady N'Diaye,2013,SAC,0.333,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.333,,0.333,,,,0.667,0.222,2.0,,,,0.0,0.0
0,Mamadou N'Diaye,2000,TOR,0.25,10.3,1.0,0.25,0.25,0.25,0.25,0.0,0.25,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,,,,0.0,0.0
1,Mamadou N'Diaye,2001,TOR,0.6,6.1,1.0,0.5,0.2,0.2,0.1,0.0,0.6,0.6,0.5,0.5,1.0,,0.667,0.0,0.0,,,,0.0,0.0
2,Mamadou N'Diaye,2002,TOR,0.448,6.3,1.0,0.344,0.417,0.167,0.073,0.0,0.448,0.576,0.375,0.375,0.429,,0.558,0.031,3.0,,,,0.0,0.0
3,Mamadou N'Diaye,2003,TOT,0.391,3.5,1.0,0.667,0.203,0.087,0.043,0.0,0.391,0.543,0.071,0.0,0.333,,0.778,0.116,8.0,,,,0.0,0.0
4,Mamadou N'Diaye,2003,DAL,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,,,0.0,0.0
5,Mamadou N'Diaye,2003,ATL,0.397,3.5,1.0,0.676,0.191,0.088,0.044,0.0,0.397,0.543,0.077,0.0,0.333,,0.778,0.118,8.0,,,,0.0,0.0
6,Mamadou N'Diaye,2004,LAC,0.4,8.7,0.95,0.4,0.3,0.2,0.05,0.05,0.421,0.5,0.5,0.25,0.0,0.0,0.25,0.05,0.0,,0.0,,1.0,0.0
0,Boniface N'Dong,2005,LAC,0.415,10.1,0.981,0.245,0.226,0.245,0.264,0.019,0.423,0.615,0.5,0.462,0.143,0.0,0.727,0.075,3.0,,0.0,,0.0,0.0
0,Bostjan Nachbar,2002,HOU,0.355,14.9,0.677,0.29,0.0,0.065,0.323,0.323,0.429,0.667,,0.0,0.3,0.2,0.444,0.0,0.0,1.0,0.6,0.0,0.0,0.0
1,Bostjan Nachbar,2003,HOU,0.356,15.8,0.523,0.28,0.053,0.03,0.159,0.477,0.348,0.541,0.0,0.25,0.143,0.365,0.542,0.045,5.0,0.957,0.238,0.2,0.0,0.0
2,Bostjan Nachbar,2004,TOT,0.392,16.3,0.523,0.241,0.046,0.071,0.165,0.477,0.4,0.505,0.368,0.207,0.338,0.383,0.5,0.044,16.0,0.933,0.291,0.421,0.0,0.0
3,Bostjan Nachbar,2004,HOU,0.349,18.2,0.512,0.116,0.093,0.07,0.233,0.488,0.227,0.4,0.0,0.0,0.3,0.476,0.2,0.0,0.0,1.0,0.333,0.571,0.0,0.0
4,Bostjan Nachbar,2004,NOH,0.397,16.0,0.524,0.255,0.041,0.071,0.158,0.476,0.42,0.511,0.467,0.231,0.345,0.371,0.519,0.049,16.0,0.923,0.286,0.4,0.0,0.0
5,Bostjan Nachbar,2005,TOT,0.346,16.3,0.545,0.224,0.064,0.058,0.199,0.455,0.412,0.6,0.1,0.111,0.387,0.268,0.514,0.038,5.0,0.947,0.31,0.273,0.0,0.0
6,Bostjan Nachbar,2005,NOK,0.339,16.7,0.54,0.202,0.065,0.073,0.202,0.46,0.373,0.56,0.125,0.111,0.36,0.298,0.4,0.024,3.0,0.941,0.246,0.357,0.0,0.0
7,Bostjan Nachbar,2005,NJN,0.375,14.7,0.563,0.313,0.063,0.0,0.188,0.438,0.556,0.7,0.0,,0.5,0.143,0.8,0.094,2.0,1.0,0.571,0.125,0.0,0.0
8,Bostjan Nachbar,2006,NJN,0.457,16.4,0.465,0.253,0.046,0.053,0.113,0.535,0.496,0.616,0.348,0.385,0.339,0.423,0.816,0.073,34.0,0.991,0.4,0.443,0.0,0.0
9,Bostjan Nachbar,2007,NJN,0.402,14.9,0.57,0.307,0.048,0.041,0.174,0.43,0.435,0.54,0.345,0.28,0.311,0.359,0.689,0.051,28.0,0.989,0.416,0.468,0.0,0.0
0,Abdel Nader,2017,BOS,0.336,13.5,0.564,0.255,0.228,0.04,0.04,0.436,0.321,0.447,0.235,0.167,0.167,0.354,0.333,0.034,3.0,0.957,0.354,0.348,0.0,0.0
1,Abdel Nader,2018,OKC,0.423,13.6,0.535,0.353,0.149,0.014,0.019,0.465,0.513,0.553,0.469,0.0,0.5,0.32,0.492,0.028,5.0,0.969,0.4,0.375,1.0,0.0
0,Lee Nailon,2000,CHH,0.485,8.2,0.993,0.338,0.257,0.228,0.169,0.007,0.489,0.674,0.429,0.323,0.435,0.0,0.652,0.015,2.0,,0.0,,0.0,0.0
1,Lee Nailon,2001,CHH,0.483,9.7,0.997,0.283,0.209,0.22,0.285,0.003,0.483,0.648,0.456,0.387,0.413,0.5,0.707,0.038,29.0,1.0,0.5,1.0,0.0,0.0
2,Lee Nailon,2002,NYK,0.442,7.8,0.995,0.337,0.311,0.179,0.168,0.005,0.444,0.641,0.373,0.353,0.281,0.0,0.429,0.037,7.0,,0.0,,0.0,0.0
3,Lee Nailon,2003,TOT,0.45,9.3,0.991,0.266,0.257,0.278,0.19,0.009,0.454,0.598,0.429,0.418,0.339,0.0,0.66,0.015,5.0,,0.667,0.0,1.0,0.0
4,Lee Nailon,2003,ATL,0.457,8.0,1.0,0.304,0.297,0.254,0.145,0.0,0.457,0.619,0.439,0.4,0.25,,0.683,0.029,4.0,,,,0.0,0.0
5,Lee Nailon,2003,ORL,0.407,5.7,1.0,0.444,0.333,0.148,0.074,0.0,0.407,0.583,0.444,0.0,0.0,,0.636,0.0,0.0,,,,0.0,0.0
6,Lee Nailon,2003,CLE,0.451,11.0,0.981,0.204,0.21,0.321,0.247,0.019,0.459,0.576,0.412,0.462,0.4,0.0,0.644,0.006,1.0,,0.667,0.0,1.0,0.0
7,Lee Nailon,2004,NOH,0.478,10.4,0.998,0.285,0.137,0.231,0.344,0.002,0.479,0.589,0.496,0.458,0.395,0.0,0.68,0.031,24.0,,0.0,,0.0,0.0
8,Lee Nailon,2005,PHI,0.5,9.3,1.0,0.338,0.138,0.263,0.263,0.0,0.5,0.778,0.273,0.333,0.429,,0.725,0.013,1.0,,,,0.0,0.0
0,Eduardo Najera,2000,DAL,0.523,4.9,0.973,0.586,0.198,0.108,0.081,0.027,0.528,0.631,0.273,0.417,0.556,0.333,0.561,0.063,6.0,0.0,0.333,0.0,0.0,0.0
1,Eduardo Najera,2001,DAL,0.5,4.6,0.993,0.66,0.11,0.103,0.12,0.007,0.503,0.561,0.303,0.484,0.389,0.0,0.667,0.12,32.0,,0.0,,0.0,0.0
2,Eduardo Najera,2002,DAL,0.558,5.6,0.996,0.58,0.147,0.091,0.177,0.004,0.561,0.664,0.529,0.286,0.39,0.0,0.76,0.043,9.0,,0.0,,0.0,0.0
3,Eduardo Najera,2003,DAL,0.444,6.5,0.975,0.58,0.074,0.154,0.167,0.025,0.443,0.511,0.25,0.44,0.296,0.5,0.729,0.037,6.0,0.5,0.0,,1.0,0.0
4,Eduardo Najera,2004,TOT,0.45,10.0,0.935,0.385,0.134,0.093,0.323,0.065,0.462,0.653,0.279,0.333,0.346,0.286,0.719,0.037,12.0,0.833,0.095,0.5,0.0,0.0
5,Eduardo Najera,2004,GSW,0.407,11.8,0.913,0.279,0.151,0.11,0.372,0.087,0.408,0.667,0.308,0.316,0.281,0.4,0.703,0.035,6.0,0.833,0.133,0.5,0.0,0.0
6,Eduardo Najera,2004,DEN,0.5,7.8,0.96,0.507,0.113,0.073,0.267,0.04,0.521,0.645,0.235,0.364,0.45,0.0,0.733,0.04,6.0,,0.0,,0.0,0.0
7,Eduardo Najera,2005,DEN,0.422,7.3,0.96,0.555,0.09,0.066,0.249,0.04,0.426,0.539,0.185,0.2,0.32,0.333,0.772,0.073,15.0,1.0,0.5,0.167,0.0,0.0
8,Eduardo Najera,2006,DEN,0.576,5.2,0.966,0.664,0.09,0.054,0.158,0.034,0.594,0.689,0.5,0.421,0.304,0.083,0.778,0.04,12.0,1.0,0.167,0.5,0.0,0.0
9,Eduardo Najera,2007,DEN,0.473,12.1,0.601,0.454,0.046,0.024,0.076,0.399,0.548,0.647,0.294,0.222,0.214,0.361,0.752,0.052,18.0,1.0,0.299,0.523,0.0,0.0
10,Eduardo Najera,2008,NJN,0.446,11.0,0.662,0.446,0.108,0.027,0.081,0.338,0.571,0.697,0.25,0.0,0.5,0.2,0.679,0.027,2.0,1.0,0.24,0.333,0.0,0.0
11,Eduardo Najera,2009,TOT,0.425,13.7,0.562,0.384,0.048,0.034,0.096,0.438,0.524,0.589,0.143,0.4,0.5,0.297,0.767,0.021,2.0,0.947,0.125,0.375,0.0,0.0
12,Eduardo Najera,2009,NJN,0.377,11.5,0.679,0.415,0.094,0.057,0.113,0.321,0.472,0.591,0.0,0.333,0.5,0.176,0.706,0.0,0.0,1.0,0.176,0.333,0.0,0.0
13,Eduardo Najera,2009,DAL,0.452,15.0,0.495,0.366,0.022,0.022,0.086,0.505,0.565,0.588,0.5,0.5,0.5,0.34,0.808,0.032,2.0,0.938,0.106,0.4,0.0,0.0
14,Eduardo Najera,2010,CHA,0.361,17.4,0.528,0.208,0.069,0.028,0.222,0.472,0.395,0.6,0.2,0.0,0.313,0.324,0.6,0.014,0.0,1.0,0.147,0.2,0.0,0.0
15,Eduardo Najera,2011,CHA,0.375,14.7,0.547,0.359,0.063,0.047,0.078,0.453,0.457,0.435,0.75,0.0,0.6,0.276,0.75,0.0,0.0,1.0,0.069,0.5,0.0,0.0
0,Larry Nance Jr.,2015,LAL,0.527,8.1,0.967,0.463,0.15,0.097,0.257,0.033,0.541,0.683,0.467,0.345,0.403,0.1,0.739,0.197,53.0,1.0,0.5,0.2,2.0,0.0
1,Larry Nance Jr.,2016,LAL,0.526,9.3,0.9,0.416,0.186,0.114,0.191,0.1,0.554,0.7,0.478,0.317,0.435,0.278,0.756,0.169,60.0,1.0,0.306,0.182,2.0,0.0
2,Larry Nance Jr.,2017,TOT,0.581,6.1,0.971,0.581,0.157,0.087,0.148,0.029,0.594,0.733,0.369,0.333,0.426,0.167,0.744,0.269,94.0,1.0,0.25,0.0,3.0,0.0
3,Larry Nance Jr.,2017,LAL,0.601,5.7,0.984,0.601,0.15,0.099,0.138,0.016,0.606,0.763,0.421,0.24,0.371,0.25,0.715,0.269,59.0,1.0,0.25,0.0,2.0,0.0
4,Larry Nance Jr.,2017,CLE,0.55,6.7,0.95,0.55,0.169,0.069,0.163,0.05,0.572,0.682,0.296,0.545,0.5,0.125,0.793,0.269,35.0,1.0,0.25,0.0,1.0,0.0
5,Larry Nance Jr.,2018,CLE,0.52,9.5,0.795,0.468,0.154,0.09,0.084,0.205,0.567,0.728,0.351,0.349,0.3,0.337,0.648,0.196,82.0,0.97,0.173,0.235,1.0,0.0
0,Shabazz Napier,2014,MIA,0.382,18.5,0.482,0.154,0.061,0.053,0.215,0.518,0.4,0.457,0.143,0.5,0.408,0.364,0.205,0.0,0.0,0.791,0.246,0.379,1.0,0.0
1,Shabazz Napier,2015,ORL,0.338,18.1,0.483,0.134,0.07,0.065,0.214,0.517,0.351,0.259,0.357,0.385,0.395,0.327,0.206,0.0,0.0,0.647,0.154,0.25,0.0,0.0
2,Shabazz Napier,2016,POR,0.399,18.3,0.497,0.202,0.055,0.055,0.186,0.503,0.429,0.432,0.4,0.4,0.441,0.37,0.128,0.0,0.0,0.647,0.141,0.308,0.0,0.0
3,Shabazz Napier,2017,POR,0.42,16.2,0.589,0.192,0.085,0.087,0.226,0.411,0.45,0.559,0.222,0.348,0.483,0.376,0.241,0.002,1.0,0.72,0.156,0.412,0.0,0.0
4,Shabazz Napier,2018,BRK,0.389,17.2,0.476,0.189,0.11,0.094,0.083,0.524,0.449,0.585,0.292,0.415,0.389,0.333,0.237,0.0,0.0,0.592,0.118,0.37,1.0,0.0
0,Steve Nash,2000,DAL,0.487,12.7,0.723,0.284,0.138,0.135,0.167,0.277,0.518,0.627,0.321,0.486,0.523,0.406,0.209,0.0,0.0,0.618,0.196,0.349,0.0,0.0
1,Steve Nash,2001,DAL,0.483,14.8,0.685,0.222,0.097,0.14,0.226,0.315,0.495,0.618,0.368,0.474,0.443,0.455,0.206,0.0,0.0,0.564,0.12,0.463,0.0,0.0
2,Steve Nash,2002,DAL,0.465,12.8,0.759,0.259,0.154,0.152,0.195,0.241,0.482,0.625,0.386,0.408,0.424,0.413,0.189,0.0,0.0,0.613,0.082,0.591,0.0,0.0
3,Steve Nash,2003,DAL,0.47,14.4,0.696,0.226,0.127,0.138,0.205,0.304,0.498,0.55,0.467,0.513,0.451,0.405,0.167,0.0,0.0,0.558,0.054,0.571,2.0,0.0
4,Steve Nash,2004,PHO,0.502,14.6,0.746,0.201,0.083,0.18,0.282,0.254,0.526,0.605,0.465,0.461,0.529,0.431,0.101,0.0,0.0,0.564,0.11,0.333,0.0,0.0
5,Steve Nash,2005,PHO,0.512,15.0,0.676,0.233,0.092,0.11,0.241,0.324,0.548,0.703,0.454,0.457,0.475,0.439,0.138,0.0,0.0,0.473,0.038,0.385,3.0,0.0
6,Steve Nash,2006,PHO,0.532,15.1,0.647,0.226,0.085,0.146,0.189,0.353,0.575,0.676,0.554,0.5,0.522,0.455,0.102,0.001,0.0,0.532,0.076,0.654,0.0,0.0
7,Steve Nash,2007,PHO,0.504,17.2,0.604,0.14,0.071,0.153,0.24,0.396,0.527,0.607,0.382,0.517,0.528,0.47,0.105,0.0,0.0,0.425,0.06,0.478,0.0,0.0
8,Steve Nash,2008,PHO,0.503,15.2,0.711,0.165,0.127,0.184,0.235,0.289,0.529,0.671,0.546,0.433,0.495,0.439,0.106,0.0,0.0,0.361,0.049,0.417,0.0,0.0
9,Steve Nash,2009,PHO,0.507,15.9,0.705,0.155,0.091,0.177,0.281,0.295,0.54,0.725,0.456,0.54,0.466,0.426,0.061,0.0,0.0,0.266,0.031,0.556,2.0,0.0
10,Steve Nash,2010,PHO,0.492,14.8,0.747,0.147,0.163,0.189,0.249,0.253,0.525,0.739,0.492,0.49,0.446,0.395,0.094,0.0,0.0,0.321,0.02,0.25,1.0,0.0
11,Steve Nash,2011,PHO,0.532,15.1,0.746,0.187,0.103,0.168,0.288,0.254,0.58,0.74,0.544,0.495,0.538,0.39,0.1,0.0,0.0,0.4,0.05,0.429,1.0,0.0
12,Steve Nash,2012,LAL,0.497,15.1,0.726,0.145,0.16,0.204,0.217,0.274,0.519,0.681,0.434,0.474,0.515,0.438,0.201,0.0,0.0,0.86,0.077,0.4,1.0,0.0
13,Steve Nash,2013,LAL,0.383,15.7,0.745,0.117,0.085,0.33,0.213,0.255,0.4,0.455,0.5,0.387,0.35,0.333,0.143,0.0,0.0,0.75,0.0,,0.0,0.0
0,Juan Carlos Navarro,2007,MEM,0.402,17.8,0.436,0.142,0.134,0.081,0.078,0.564,0.455,0.541,0.534,0.323,0.3,0.361,0.237,0.0,0.0,0.878,0.13,0.393,3.0,0.0
0,Maurice Ndour,2016,NYK,0.453,8.6,0.919,0.384,0.163,0.198,0.151,0.081,0.481,0.727,0.286,0.353,0.308,0.143,0.737,0.105,8.0,1.0,0.286,0.5,0.0,0.0
0,Gary Neal,2010,SAS,0.451,18.1,0.513,0.044,0.161,0.158,0.149,0.487,0.481,0.679,0.441,0.52,0.426,0.419,0.532,0.0,0.0,0.814,0.256,0.456,2.0,0.0
1,Gary Neal,2011,SAS,0.436,16.5,0.593,0.084,0.208,0.152,0.148,0.407,0.448,0.537,0.446,0.459,0.389,0.419,0.333,0.0,0.0,0.542,0.162,0.406,0.0,0.0
2,Gary Neal,2012,SAS,0.412,18.5,0.58,0.052,0.129,0.126,0.273,0.42,0.454,0.484,0.455,0.533,0.411,0.355,0.548,0.002,1.0,0.798,0.167,0.405,0.0,0.0
3,Gary Neal,2013,TOT,0.41,17.3,0.618,0.079,0.132,0.176,0.231,0.382,0.43,0.595,0.419,0.422,0.385,0.378,0.472,0.0,0.0,0.706,0.133,0.417,0.0,0.0
4,Gary Neal,2013,MIL,0.39,17.6,0.599,0.072,0.112,0.202,0.213,0.401,0.41,0.6,0.387,0.357,0.407,0.36,0.426,0.0,0.0,0.7,0.126,0.429,0.0,0.0
5,Gary Neal,2013,CHA,0.438,16.9,0.644,0.088,0.16,0.139,0.258,0.356,0.456,0.588,0.452,0.556,0.36,0.406,0.526,0.0,0.0,0.714,0.145,0.4,0.0,0.0
6,Gary Neal,2014,TOT,0.374,16.8,0.674,0.109,0.133,0.141,0.29,0.326,0.407,0.364,0.328,0.521,0.404,0.305,0.377,0.0,0.0,0.58,0.122,0.25,0.0,0.0
7,Gary Neal,2014,CHO,0.359,16.5,0.666,0.126,0.148,0.138,0.254,0.334,0.392,0.32,0.339,0.509,0.396,0.293,0.317,0.0,0.0,0.59,0.113,0.2,0.0,0.0
